estate_id,date,phase,block,floor,flat,rooms,area_sqft,price,price_per_sqft,source
1,2026-08-27,,,,A,3房,908,1974000,2174,28hse
1,2026-08-27,,,,B,,670,7200000,10746,28hse
1,2026-08-27,第2期,,中層,B,1房,533,5800000,10882,28hse
1,2026-08-26,,,,A,3房,908,987000,1087,28hse
1,2026-08-25,,,,B,3房,716,7900000,11034,28hse
1,2026-08-25,,,,C,,638,7680000,12038,28hse
1,2026-08-25,,,,B,,715,8780000,12280,28hse
1,2026-08-25,第5期,,高層,A,3房,703,9600000,13656,28hse
2,2026-08-27,,,,B,2房,583,9638000,16532,28hse
2,2026-08-26,,,,D,3房,762,8500000,11155,28hse
2,2026-08-21,,,,E,2房,489,7780000,15910,28hse
2,2026-08-20,,,,F,2房,503,8730000,17356,28hse
2,2026-08-19,,,,F,2房,583,9000000,15437,28hse
2,2026-08-18,,,,G,2房,580,9980000,17207,28hse
2,2026-08-18,,33座,低層,D,3房,922,15500000,16811,28hse
2,2026-08-18,,52座,高層,H,2房,582,10400000,17869,28hse
2,2026-08-17,,,,F,3房,664,9000000,13554,28hse
2,2026-08-14,,,,G,2房,580,9700000,16724,28hse
3,2026-08-26,第1期,5座,中層,C,3房,853,10800000,12661,28hse
3,2026-08-26,第5期,48座,,E,2房,284,4380000,15423,28hse
3,2026-08-26,第4期,43座,,D,2房,304,4460000,14671,28hse
3,2026-08-24,第5期,52座,,C,2房,304,4718000,15520,28hse
3,2026-08-20,第7期,36座,,D,2房,307,4610000,15016,28hse
3,2026-08-20,第2期,21座,,F,3房,451,6420000,14235,28hse
3,2026-08-20,第4期,37座,,A,2房,284,4560000,16056,28hse
3,2026-08-19,第7期,36座,,E,3房,478,6150000,12866,28hse
3,2026-08-19,第3期,30座,,E,3房,451,6500000,14412,28hse
3,2026-08-18,第5期,48座,,D,2房,304,1720000,5658,28hse
4,2026-08-27,第7期,14座,,H,3房,547,4550000,8318,28hse
4,2026-08-25,第5期,8座,,H,3房,547,4560000,8336,28hse
4,2026-08-25,第5期,3座,,A,,635,1700000,2677,28hse
4,2026-08-24,第2期,3座,,F,2房,449,3950000,8797,28hse
4,2026-08-21,第1期,2座,,H,3房,549,4380000,7978,28hse
4,2026-08-21,第2期,5座,,A,3房,636,2500000,3931,28hse
4,2026-08-20,第2期,4座,,F,2房,449,4100000,9131,28hse
4,2026-08-19,第7期,10座,,A,3房,638,5500000,8621,28hse
4,2026-08-19,第5期,7座,,D,,544,4180000,7684,28hse
5,2026-08-27,,7座,,F,2房,517,8350000,16151,28hse
5,2026-08-24,,8座,,F,3房,670,11000000,16418,28hse
5,2026-08-20,,2座,中層,D,2房,489,8680000,17751,28hse
5,2026-08-18,,2座,,C,2房,523,8860000,16941,28hse
5,2026-08-14,,7座,低層,F,2房,517,8350000,16151,28hse
5,2026-08-10,,5座,,G,2房,524,8380000,15992,28hse
5,2026-08-05,,1座,,B,2房,517,8600000,16634,28hse
5,2026-07-24,,5座,,B,2房,517,8230000,15919,28hse
5,2026-07-24,,7座,,C,2房,517,8280000,16015,28hse
6,2026-08-18,,7座,,D,2房,463,3150000,6803,28hse
6,2026-08-12,,6座,高層,B,3房,554,11600000,20939,28hse
6,2026-07-24,,3座,,H,2房,467,7900000,16916,28hse
6,2026-07-06,,5座,,G,2房,447,7890000,17651,28hse
6,2026-06-30,,7座,,C,2房,485,10000000,20619,28hse
6,2026-06-30,,7座,,D,2房,463,8500000,18359,28hse
6,2026-06-29,,6座,,D,2房,449,8600000,19154,28hse
6,2026-06-29,,6座,,C,3房,605,12000000,19835,28hse
6,2026-06-25,第1期,5座,低層,G,2房,447,7890000,17651,28hse
6,2026-06-18,,1座,,D,2房,451,7692000,17055,28hse
7,2026-08-26,,3座,,C,2房,493,8880000,18012,28hse
7,2026-08-24,,3座,,G,3房,637,11368000,17846,28hse
7,2026-08-21,,1座,,A,2房,506,4000000,7905,28hse
7,2026-08-20,第2期,7座,低層,G,2房,473,7304000,15442,28hse
7,2026-08-19,,1座,,F,2房,455,3700000,8132,28hse
7,2026-08-13,,2座,,B,3房,682,9800000,14370,28hse
7,2026-08-12,第1期,3座,低層,G,3房,637,11368000,17846,28hse
7,2026-08-05,,5座,,D,2房,499,8300000,16633,28hse
7,2026-07-31,,2座,,G,3房,680,11900000,17500,28hse
7,2026-07-26,,3座,高層,C,2房,493,8880000,18012,28hse
8,2026-08-25,,1座,低層,C,2房,494,8350000,16903,28hse
8,2026-08-07,,5座,,C,2房,496,8550000,17238,28hse
8,2026-08-06,,5座,,B,2房,501,7980000,15928,28hse
8,2026-08-05,,3座,,H,3房,588,11200000,19048,28hse
8,2026-08-04,,5座,,G,2房,497,8780000,17666,28hse
8,2026-08-03,,5座,低層,F,2房,494,8280000,16761,28hse
8,2026-07-31,,5座,高層,B,2房,501,7980000,15928,28hse
8,2026-07-21,,1座,,A,3房,577,10000000,17331,28hse
8,2026-07-20,,1座,,C,2房,494,8000000,16194,28hse
8,2026-07-13,,5座,,F,2房,499,9530000,19098,28hse
