estate_id,date,phase,block,floor,flat,rooms,area_sqft,price,price_per_sqft,source
1,2025-11-03,2期,百老匯街125號,低層,G,1房,465,5999895,12903,land_registry
1,2025-09-10,5期,百老匯街49號,低層,B,1房,550,5695800,10356,centanet
1,2026-04-04,1期,百老匯街67號,高層,J,2房,350,4687200,13392,land_registry
1,2026-06-04,5期,百老匯街15號,高層,E,3房,284,3272816,11524,land_registry
1,2026-07-21,7期,百老匯街59號,高層,C,1房,304,2532624,8331,centanet
1,2026-02-18,7期,百老匯街61號,中層,B,1房,800,7985600,9982,centanet
1,2026-03-11,4期,百老匯街111號,高層,J,3房,550,5788750,10525,land_registry
1,2026-05-28,3期,百老匯街21號,中層,F,2房,600,6833400,11389,land_registry
1,2025-09-19,8期,百老匯街127號,低層,B,3房,350,3583300,10238,centanet
1,2026-02-26,4期,百老匯街105號,中層,B,3房,284,2906740,10235,land_registry
1,2026-05-23,2期,百老匯街29號,高層,B,3房,650,7694050,11837,land_registry
1,2026-07-10,4期,百老匯街67號,中層,D,2房,350,3203200,9152,land_registry
1,2025-12-12,2期,百老匯街29號,低層,H,2房,400,5222000,13055,land_registry
1,2026-03-07,1期,百老匯街119號,中層,K,1房,550,5637500,10250,land_registry
1,2026-07-27,7期,百老匯街125號,低層,L,2房,304,3860496,12699,centanet
1,2026-02-24,4期,百老匯街103號,低層,B,2房,450,6079950,13511,land_registry
1,2026-08-12,5期,百老匯街125號,中層,H,3房,750,6487500,8650,land_registry
1,2026-05-31,2期,百老匯街25號,中層,L,2房,530,6489320,12244,centanet
1,2025-09-05,3期,百老匯街89號,低層,K,3房,284,3217720,11330,land_registry
1,2026-02-16,5期,百老匯街71號,中層,F,1房,465,6206820,13348,land_registry
1,2026-04-03,8期,百老匯街27號,低層,D,3房,650,7384000,11360,centanet
1,2026-03-30,8期,百老匯街63號,低層,F,1房,400,4387600,10969,land_registry
1,2026-06-17,4期,百老匯街111號,中層,F,2房,800,8344800,10431,centanet
1,2025-11-13,6期,百老匯街85號,低層,D,3房,350,4024650,11499,centanet
1,2026-01-01,2期,百老匯街31號,低層,K,3房,700,7739900,11057,land_registry
1,2026-05-26,1期,百老匯街49號,低層,F,1房,750,8732250,11643,land_registry
1,2026-07-10,2期,百老匯街105號,中層,D,1房,530,4309960,8132,centanet
1,2026-02-08,3期,百老匯街81號,中層,E,1房,350,2895200,8272,land_registry
1,2025-09-01,1期,百老匯街127號,中層,E,2房,600,7096200,11827,land_registry
1,2025-11-14,2期,百老匯街57號,中層,K,3房,400,5503600,13759,centanet
2,2026-01-04,楓苑,太古城康в座,高層,G,3房,465,8169585,17569,centanet
2,2026-01-30,松苑,太古城海天花園座,高層,F,2房,550,8585500,15610,centanet
2,2026-06-21,菊苑,太古城海景座,高層,K,2房,465,7959870,17118,land_registry
2,2025-11-03,海天花園,太古城康в座,中層,D,3房,800,13222400,16528,land_registry
2,2025-12-08,松苑,太古城海景座,中層,A,2房,800,10231200,12789,land_registry
2,2026-02-21,湖景花園,太古城海景座,中層,D,2房,400,7398000,18495,land_registry
2,2026-08-22,蘭苑,太古城海天花園座,中層,A,3房,700,11817400,16882,centanet
2,2026-08-23,菊苑,太古城銀輝座,高層,C,2房,600,9216600,15361,land_registry
2,2026-01-31,松苑,太古城康松座,高層,E,2房,650,11764350,18099,land_registry
2,2026-05-03,海天花園,太古城康柏座,高層,H,1房,550,9525450,17319,centanet
2,2026-08-18,松苑,太古城康山座,低層,J,1房,400,6613600,16534,centanet
2,2026-05-14,蘭苑,太古城海天花園座,高層,K,3房,465,7086135,15239,centanet
2,2026-07-28,蘭苑,太古城海天花園座,高層,C,3房,450,7800750,17335,land_registry
2,2026-06-10,海天半島,太古城銀輝座,低層,A,2房,465,7250745,15593,land_registry
2,2025-12-18,菊苑,太古城康в座,低層,D,2房,650,11449100,17614,land_registry
2,2025-11-22,蘭苑,太古城康в座,低層,C,2房,530,9670380,18246,land_registry
2,2026-07-24,蘭苑,太古城銀輝座,高層,L,1房,800,12168800,15211,land_registry
2,2026-08-03,湖景花園,太古城康山座,高層,J,3房,284,4159748,14647,land_registry
2,2026-06-19,竹苑,太古城康山座,低層,B,2房,600,9188400,15314,centanet
2,2026-03-09,雍景臺,太古城康в座,高層,H,1房,304,4996848,16437,land_registry
2,2025-11-20,松苑,太古城銀輝座,低層,E,2房,650,9174100,14114,centanet
2,2026-03-11,竹苑,太古城銀輝座,中層,A,3房,350,5867750,16765,land_registry
2,2026-01-27,柏苑,太古城康柏座,低層,L,2房,700,12216400,17452,centanet
2,2025-10-21,海景花園,太古城康в座,低層,H,2房,700,11159400,15942,land_registry
2,2026-05-02,湖景花園,太古城康в座,中層,J,1房,350,5344850,15271,land_registry
2,2025-11-24,雍景臺,太古城銀輝座,中層,E,3房,750,9627750,12837,centanet
2,2026-03-17,松苑,太古城康柏座,高層,A,1房,600,8349000,13915,centanet
2,2025-12-22,菊苑,太古城康柏座,低層,B,2房,284,5042420,17755,centanet
2,2025-12-20,海天半島,太古城康柏座,中層,D,1房,650,10739950,16523,centanet
2,2026-06-12,蘭苑,太古城康柏座,低層,F,3房,550,8353400,15188,centanet
2,2026-05-20,海天花園,太古城康松座,低層,H,3房,284,4636868,16327,centanet
2,2026-08-14,楓苑,太古城海景座,高層,K,1房,400,5422800,13557,land_registry
2,2026-01-27,松苑,太古城銀輝座,高層,K,1房,700,11351200,16216,centanet
2,2026-07-03,菊苑,太古城康柏座,中層,K,3房,700,10637900,15197,centanet
2,2026-02-07,楓苑,太古城康柏座,高層,L,2房,350,5417300,15478,centanet
2,2025-10-14,海天花園,太古城海景座,低層,H,1房,350,4652900,13294,centanet
2,2026-07-16,菊苑,太古城海景座,低層,K,2房,550,7965100,14482,land_registry
2,2026-01-05,菊苑,太古城海景座,中層,F,1房,450,6369750,14155,centanet
2,2025-12-19,海景花園,太古城康山座,中層,K,3房,350,4870950,13917,land_registry
2,2025-08-28,楓苑,太古城康в座,高層,H,1房,550,10107350,18377,land_registry
3,2026-07-26,4期,42座,低層,C,1房,650,7203950,11083,land_registry
3,2026-01-05,5期,41座,中層,C,1房,400,5390000,13475,land_registry
3,2025-12-08,4期,41座,低層,J,3房,530,5969920,11264,centanet
3,2026-07-24,3期,40座,低層,L,2房,700,9158100,13083,centanet
3,2026-01-20,3期,44座,高層,E,2房,400,5603600,14009,centanet
3,2025-10-19,1期,47座,中層,L,1房,800,11379200,14224,land_registry
3,2025-12-29,2期,49座,中層,K,1房,600,7473600,12456,land_registry
3,2026-01-10,4期,37座,中層,J,2房,304,3639792,11973,centanet
3,2026-08-21,2期,44座,高層,L,1房,350,4314800,12328,land_registry
3,2026-06-05,4期,36座,低層,D,2房,600,6785400,11309,land_registry
3,2026-02-08,5期,40座,高層,G,2房,465,6127305,13177,centanet
3,2026-04-28,5期,45座,低層,E,3房,550,7974450,14499,land_registry
3,2025-12-25,5期,44座,低層,J,1房,530,6074330,11461,land_registry
3,2026-08-23,3期,38座,中層,L,2房,450,5012100,11138,land_registry
3,2026-05-07,4期,45座,高層,J,3房,450,5530950,12291,land_registry
3,2026-06-05,2期,49座,低層,F,2房,600,6326400,10544,centanet
3,2026-07-17,5期,37座,高層,J,3房,400,5050000,12625,centanet
3,2025-10-31,4期,42座,高層,F,3房,600,5985600,9976,land_registry
3,2026-02-02,3期,40座,低層,D,2房,600,5446200,9077,centanet
3,2025-09-25,1期,43座,低層,K,2房,550,5558300,10106,land_registry
3,2025-12-16,1期,46座,中層,A,2房,400,5159200,12898,centanet
3,2026-05-02,5期,49座,高層,J,2房,450,4957200,11016,centanet
3,2026-05-27,1期,38座,中層,A,3房,530,4862750,9175,centanet
3,2026-01-20,2期,48座,高層,D,1房,800,11590400,14488,land_registry
3,2025-09-10,1期,49座,低層,H,1房,600,5321400,8869,land_registry
4,2026-04-13,5期(麗湖居),8座,低層,E,3房,284,2322552,8178,land_registry
4,2025-12-23,2期(賞湖居),10座,中層,F,2房,700,4051600,5788,land_registry
4,2026-04-03,6期(碧湖居),6座,低層,F,1房,750,7656750,10209,land_registry
4,2026-06-27,1期(樂湖居),2座,低層,J,2房,465,3094110,6654,land_registry
4,2026-03-16,7期(景湖居),15座,高層,A,2房,304,1704224,5606,land_registry
4,2026-03-23,3期(翠湖居),4座,中層,E,1房,750,7911750,10549,centanet
4,2025-09-03,1期(樂湖居),17座,中層,K,2房,400,2320800,5802,land_registry
4,2026-07-28,1期(樂湖居),1座,高層,E,2房,600,5689800,9483,centanet
4,2026-05-05,2期(賞湖居),18座,高層,K,2房,284,1760232,6198,centanet
4,2025-09-03,5期(麗湖居),10座,低層,D,3房,400,3790000,9475,land_registry
4,2025-10-03,6期(碧湖居),4座,高層,A,1房,800,7487200,9359,centanet
4,2026-02-21,6期(碧湖居),17座,高層,J,1房,650,4199000,6460,centanet
4,2026-07-13,1期(樂湖居),3座,低層,B,2房,550,3192750,5805,land_registry
4,2026-07-10,5期(麗湖居),17座,中層,F,3房,750,6364500,8486,centanet
4,2026-05-28,3期(翠湖居),2座,低層,D,3房,465,2590980,5572,centanet
4,2026-02-23,5期(麗湖居),1座,中層,J,2房,800,8759200,10949,land_registry
4,2025-11-04,6期(碧湖居),13座,高層,J,1房,600,3400800,5668,centanet
4,2026-06-21,6期(碧湖居),12座,低層,D,2房,700,6493200,9276,centanet
4,2026-02-28,5期(麗湖居),18座,低層,E,1房,750,4931250,6575,land_registry
4,2026-07-08,5期(麗湖居),2座,高層,B,1房,284,3066632,10798,centanet
4,2026-03-12,7期(景湖居),7座,高層,D,1房,400,3282800,8207,land_registry
4,2026-02-17,6期(碧湖居),16座,高層,C,2房,304,1719120,5655,land_registry
4,2026-02-07,1期(樂湖居),8座,低層,G,1房,304,2230144,7336,land_registry
4,2025-12-16,1期(樂湖居),16座,高層,H,1房,530,4664530,8801,land_registry
4,2026-07-14,7期(景湖居),3座,中層,J,3房,600,4912200,8187,centanet
4,2026-08-14,6期(碧湖居),16座,中層,A,3房,650,6172400,9496,centanet
4,2025-11-04,2期(賞湖居),7座,中層,B,3房,700,6606600,9438,land_registry
4,2026-03-20,2期(賞湖居),11座,中層,J,3房,304,1697232,5583,centanet
4,2026-08-08,2期(賞湖居),8座,低層,B,2房,450,3928500,8730,land_registry
4,2026-03-01,1期(樂湖居),8座,高層,H,2房,304,3009296,9899,centanet
4,2026-08-10,6期(碧湖居),10座,中層,C,2房,700,4157300,5939,centanet
4,2026-04-27,2期(賞湖居),18座,高層,K,3房,284,1859348,6547,land_registry
