estate_id,month,avg_price_per_sqft,volume
1,2023-09,10823,14
1,2023-10,10625,29
1,2023-11,10644,36
1,2023-12,10480,20
1,2024-01,11400,10
1,2024-02,10534,21
1,2024-03,11373,28
1,2024-04,11119,36
1,2024-05,11349,35
1,2024-06,10471,20
1,2024-07,11106,31
1,2024-08,11293,15
1,2024-09,10709,30
1,2024-10,11048,28
1,2024-11,11571,17
1,2024-12,11649,24
1,2025-01,11253,24
1,2025-02,11432,24
1,2025-03,11369,35
1,2025-04,11409,37
1,2025-05,10742,34
1,2025-06,11134,10
1,2025-07,11493,34
1,2025-08,11687,36
1,2025-09,11785,31
1,2025-10,11840,16
1,2025-11,11210,25
1,2025-12,11200,16
1,2025-12,11842,28
1,2026-01,11220,30
1,2026-03,11320,28
1,2026-03,10984,35
1,2026-04,11003,27
1,2026-05,11440,30
1,2026-06,11370,15
1,2026-07,11981,12
2,2023-09,15797,27
2,2023-10,15176,21
2,2023-11,15056,35
2,2023-12,15181,30
2,2024-01,15455,35
2,2024-02,15491,11
2,2024-03,15786,16
2,2024-04,15597,33
2,2024-05,16361,23
2,2024-06,15721,17
2,2024-07,15492,34
2,2024-08,15055,15
2,2024-09,16655,15
2,2024-10,16090,35
2,2024-11,15716,10
2,2024-12,16224,21
2,2025-01,15548,24
2,2025-02,15871,11
2,2025-03,16508,22
2,2025-04,15890,31
2,2025-05,16637,12
2,2025-06,16515,19
2,2025-07,15775,24
2,2025-08,16121,29
2,2025-09,16070,13
2,2025-10,15822,26
2,2025-11,15807,23
2,2025-12,16750,28
2,2025-12,16310,38
2,2026-01,16565,12
2,2026-03,16836,36
2,2026-03,16377,29
2,2026-04,16727,20
2,2026-05,16700,31
2,2026-06,17358,14
2,2026-07,17021,30
3,2023-09,11996,35
3,2023-10,11749,17
3,2023-11,11997,14
3,2023-12,11322,14
3,2024-01,11939,16
3,2024-02,11494,12
3,2024-03,11428,17
3,2024-04,11106,19
3,2024-05,11194,37
3,2024-06,11496,33
3,2024-07,11166,26
3,2024-08,11305,11
3,2024-09,11621,28
3,2024-10,12279,37
3,2024-11,11729,18
3,2024-12,11654,13
3,2025-01,12040,31
3,2025-02,11366,21
3,2025-03,12167,36
3,2025-04,11616,35
3,2025-05,11407,21
3,2025-06,11436,13
3,2025-07,11976,37
3,2025-08,12372,20
3,2025-09,11781,12
3,2025-10,12120,19
3,2025-11,12690,28
3,2025-12,12467,25
3,2025-12,12310,33
3,2026-01,11776,12
3,2026-03,12338,17
3,2026-03,11658,32
3,2026-04,12580,25
3,2026-05,11751,12
3,2026-06,12869,20
3,2026-07,12108,20
4,2023-09,7992,13
4,2023-10,8243,29
4,2023-11,8195,10
4,2023-12,8050,13
4,2024-01,8461,37
4,2024-02,8209,20
4,2024-03,7913,14
4,2024-04,8265,34
4,2024-05,7920,39
4,2024-06,7891,20
4,2024-07,8407,26
4,2024-08,8120,26
4,2024-09,8306,18
4,2024-10,7970,17
4,2024-11,8068,34
4,2024-12,8772,20
4,2025-01,8090,26
4,2025-02,8268,28
4,2025-03,8824,10
4,2025-04,8864,31
4,2025-05,8463,17
4,2025-06,8361,13
4,2025-07,8885,21
4,2025-08,8497,18
4,2025-09,8920,26
4,2025-10,8318,21
4,2025-11,8320,35
4,2025-12,8527,31
4,2025-12,8255,17
4,2026-01,8502,15
4,2026-03,8287,15
4,2026-03,8949,16
4,2026-04,8947,26
4,2026-05,9105,22
4,2026-06,8595,40
4,2026-07,8695,14
5,2023-09,15866,23
5,2023-10,15555,18
5,2023-11,16124,27
5,2023-12,15949,13
5,2024-01,16000,36
5,2024-02,16922,20
5,2024-03,17313,31
5,2024-04,16849,23
5,2024-05,16472,36
5,2024-06,16455,38
5,2024-07,17447,15
5,2024-08,16962,33
5,2024-09,16781,18
5,2024-10,16638,12
5,2024-11,17118,11
5,2024-12,17336,28
5,2025-01,16433,27
5,2025-02,16486,27
5,2025-03,16253,26
5,2025-04,17517,27
5,2025-05,17093,15
5,2025-06,16593,35
5,2025-07,17049,30
5,2025-08,16827,22
5,2025-09,16523,32
5,2025-10,17650,23
5,2025-11,17724,40
5,2025-12,16563,30
5,2025-12,16461,17
5,2026-01,17839,36
5,2026-03,17841,40
5,2026-03,18164,18
5,2026-04,17000,33
5,2026-05,16711,39
5,2026-06,16538,37
5,2026-07,16792,18
6,2023-09,17877,35
6,2023-10,18023,33
6,2023-11,17034,23
6,2023-12,16697,20
6,2024-01,16715,26
6,2024-02,18208,38
6,2024-03,18002,12
6,2024-04,17510,30
6,2024-05,17575,23
6,2024-06,17678,12
6,2024-07,17085,31
6,2024-08,17029,31
6,2024-09,17720,27
6,2024-10,17742,12
6,2024-11,17918,22
6,2024-12,17548,11
6,2025-01,18508,19
6,2025-02,17876,13
6,2025-03,17892,26
6,2025-04,18951,18
6,2025-05,17270,16
6,2025-06,18092,11
6,2025-07,18402,10
6,2025-08,19079,38
6,2025-09,17727,11
6,2025-10,17424,35
6,2025-11,19200,32
6,2025-12,19118,27
6,2025-12,18801,40
6,2026-01,18198,39
6,2026-03,19309,25
6,2026-03,19019,25
6,2026-04,18018,31
6,2026-05,19323,16
6,2026-06,19124,26
6,2026-07,18124,19
7,2023-09,14938,31
7,2023-10,14572,23
7,2023-11,14747,13
7,2023-12,14550,23
7,2024-01,14475,24
7,2024-02,15666,28
7,2024-03,14648,20
7,2024-04,15228,15
7,2024-05,15509,23
7,2024-06,14661,36
7,2024-07,14908,30
7,2024-08,15000,24
7,2024-09,14795,27
7,2024-10,14713,32
7,2024-11,14644,18
7,2024-12,15756,35
7,2025-01,15319,15
7,2025-02,14811,36
7,2025-03,14933,34
7,2025-04,16121,16
7,2025-05,15428,11
7,2025-06,15937,33
7,2025-07,14958,35
7,2025-08,15539,16
7,2025-09,15616,32
7,2025-10,16282,10
7,2025-11,14935,30
7,2025-12,16053,28
7,2025-12,15710,33
7,2026-01,16401,11
7,2026-03,15037,30
7,2026-03,15259,32
7,2026-04,16563,30
7,2026-05,15694,10
7,2026-06,16557,29
7,2026-07,15840,34
8,2023-09,17880,36
8,2023-10,16374,29
8,2023-11,17044,12
8,2023-12,17170,11
8,2024-01,17213,20
8,2024-02,17028,35
8,2024-03,17710,24
8,2024-04,17922,10
8,2024-05,18074,33
8,2024-06,18042,20
8,2024-07,17171,39
8,2024-08,18401,22
8,2024-09,17031,40
8,2024-10,17886,35
8,2024-11,18357,29
8,2024-12,16806,15
8,2025-01,17068,24
8,2025-02,17449,18
8,2025-03,18369,16
8,2025-04,18069,18
8,2025-05,18454,14
8,2025-06,17847,33
8,2025-07,17305,35
8,2025-08,18467,16
8,2025-09,18529,38
8,2025-10,18248,14
8,2025-11,18105,35
8,2025-12,18545,10
8,2025-12,17737,39
8,2026-01,18469,26
8,2026-03,17864,22
8,2026-03,18175,33
8,2026-04,17726,29
8,2026-05,17425,14
8,2026-06,18518,35
8,2026-07,18261,10
